Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Ireland,IRL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,50427.32967,62179.26427,62566.79784,67652.01992,72478.83824,75281.92153,79441.70868,90589.19673,97316.87751,91783.43701
Isle of Man,IMN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,84774.53892,84753.51874,90801.17153,93232.64891,95074.43972,95137.33489,86613.61338,89706.0885,..,..
Israel,ISR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,36035.25775,36206.52222,37109.02182,37953.04046,38744.16044,39591.36876,38176.75434,40772.97049,42710.77822,42674.30023
Italy,ITA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,29979.91872,30242.38614,30685.6459,31244.2271,31593.48026,32114.29986,29375.03734,31980.64124,33364.10905,33774.02019
Jamaica,JAM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5049.080415,5077.550969,5132.226821,5172.916054,5264.196452,5307.510344,4769.693594,4976.359709,5236.790244,5355.474825
Japan,JPN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,34386.90586,34960.63938,35242.19938,35861.97285,36138.52908,36043.7844,34650.79678,35701.45427,36202.63927,37079.10922
Jordan,JOR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4348.236659,4064.25301,3949.610785,3947.97167,3929.687185,3909.250017,3784.762523,3845.856975,3891.212226,3974.959394
Kazakhstan,KAZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10539.04311,10510.77032,10476.34601,10758.51928,11053.36042,11402.75842,10974.24464,11186.28228,11283.41609,11700.83648
Kenya,KEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1457.543066,1496.653573,1525.743551,1550.203457,1604.802932,1653.828985,1616.502404,1705.74039,1754.58548,1813.760973
Kiribati,KIR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1495.02283,1641.480977,1733.245685,1767.138005,1799.26864,1829.223057,1785.563193,1904.765883,1942.698066,1991.314314
